id,İl,İlçe,Mahalle,mahalleid,Ada,Parsel,tapuzeminref,tapualan,Toplam Alan(m2),Toki Hissesi(m2),İmar Durumu,Açıklama,Satış Birim Bedeli,Muhammen Bedel,Satış Bedeli,parselgeom
104,SİNOP,BOYABAT,ESENTEPE,153356,817,13,140751775,1682.02,1682.02,1682.02,KONUT ALANI,"A-3, Taks:0.30-Kaks:0.90",8500,14297170,,"POLYGON ((34.7984971593726 41.4570107264562, 34.7983299049191 41.4571232861471, 34.7982722109637 41.4571279766969, 34.7978030223963 41.4569248994434, 34.7977963155321 41.4569215220535, 34.7977902769877 41.4569174937223, 34.7977850175783 41.456912888375, 34.797780633821 41.456907790526, 34.7977772061634 41.4569022937275, 34.7977747975073 41.4568964988532, 34.7977734520546 41.4568905122468, 34.7977731944957 41.4568844437703, 34.7977761197278 41.4568231155952, 34.7977766041711 41.456818791624, 34.7977776398162 41.4568145612788, 34.7977792169742 41.4568103488958, 34.7977813210537 41.4568063085951, 34.7977839324801 41.4568024394778, 34.7977870269861 41.4567987774988, 34.7977905758152 41.4567953566879, 34.7977945459889 41.4567922088338, 34.7980162024046 41.4566344585249, 34.7982567998937 41.4568226827512, 34.7984971593726 41.4570107264562))"
105,SİNOP,BOYABAT,ESENTEPE,153356,830,9,140752319,971.95,971.95,971.95,KONUT ALANI,"E:1.50, Yençok:5 Kat",10500,10205475,,"POLYGON ((34.7854737040357 41.4543425660279, 34.7857087369116 41.4542702630699, 34.7857002333897 41.4541478195979, 34.7857273920346 41.4540234843249, 34.7857379204686 41.4539753167829, 34.785842038161 41.4540300529897, 34.7859696124969 41.4540971227196, 34.7861025724539 41.4541669831716, 34.7859488007699 41.4542866411295, 34.7855030757524 41.4544185713674, 34.7854737040357 41.4543425660279))"
106,SİNOP,BOYABAT,ESENTEPE,153356,852,9,140754448,1047.8,1047.8,1047.8,KONUT ALANI,"A-3, Taks:0.30-Kaks:0.90",8500,8906300,,"POLYGON ((34.797239377655 41.4576640827734, 34.7972597668784 41.4578531479823, 34.7969885939951 41.457866542264, 34.7969563952986 41.4578434077785, 34.7969209204184 41.4575131472216, 34.796942828827 41.4574935776112, 34.7972191082573 41.4574751976054, 34.797239377655 41.4576640827734))"
107,SİNOP,BOYABAT,GÖKDERE,155773,1210,1,140754878,1560.37,1560.37,1560.37,KONUT ALANI,"A-5, Taks:0.30-Kaks:1.50
İmar Planı gereği ihdas işleminin tamamlanması ve ardından tevhiden net imar parseli oluşması gerekmektedir.",14000,21845180,,"POLYGON ((34.7668011215808 41.4579690813254, 34.7666229145012 41.4579578924543, 34.7666152875786 41.4575421474997, 34.7669745904738 41.4575558843052, 34.7669845226457 41.4580971255991, 34.7668739585266 41.4580928986836, 34.7668011215808 41.4579690813254))"
108,SİNOP,BOYABAT,KARACAÖREN,151555,863,9,140754892,411.74,411.74,411.74,KONUT ALANI,"Ayrık Nizam 3 Kat (A-3), TAKS: 0.30 ve KAKS: 0.90",5500,2264570,,"POLYGON ((34.7768657469301 41.494026027688, 34.7768821710238 41.4940225591686, 34.7768888740597 41.4940227204818, 34.7769013878549 41.4940259147653, 34.7769098051421 41.4940307002076, 34.7769416725398 41.4940615471287, 34.7769453971421 41.4940672589894, 34.7769510385849 41.494079293739, 34.7769536749912 41.4940919267864, 34.7769539139545 41.4940983218704, 34.7769511863898 41.4941989534442, 34.7767132032483 41.494202094439, 34.7764999385738 41.4942049594656, 34.7765682260399 41.4941793940836, 34.7768657469301 41.494026027688))"
109,SİNOP,BOYABAT,KARACAÖREN,151555,865,10,140754725,398.1,398.1,398.1,KONUT ALANI,"Ayrık Nizam 3 Kat (A-3), TAKS: 0.30 ve KAKS: 0.90",5500,2189550,,"POLYGON ((34.7758031993497 41.4935461357618, 34.7757744667134 41.4935457399212, 34.7760723389242 41.4933073437428, 34.7760973780182 41.4933131023573, 34.7761048865476 41.4935496163108, 34.7758031993497 41.4935461357618))"
110,SİNOP,BOYABAT,KARACAÖREN,151555,880,16,140754376,783.76,783.76,783.76,KONUT ALANI,"Ayrık Nizam 3 Kat (A-3), TAKS: 0.30 ve KAKS: 0.90",5150,4036364,,"POLYGON ((34.7701956428696 41.4935259336029, 34.7700799443526 41.4935511824997, 34.7699327764507 41.4935210997969, 34.7696446169823 41.4934394330899, 34.7695679676138 41.493397032234, 34.7695537729895 41.4933384827827, 34.7695727923863 41.4933144337613, 34.7697867797373 41.4932621682714, 34.7698659719729 41.493437414573, 34.7701290502516 41.4933745916989, 34.7701956428696 41.4935259336029))"
111,SİNOP,DURAĞAN,YEŞİLYURT,206459,273,5,140754721,356.5,356.5,356.5,KONUT ALANI,Ayrık Nizam 3 Kat,4500,1604250,1604250,"POLYGON ((35.0523622700875 41.41075428508, 35.0523063591034 41.4106370738439, 35.0522713353516 41.4105868070001, 35.0522902242319 41.4105592712491, 35.0524062196152 41.4105474717545, 35.0525747526483 41.4106480272793, 35.0525906124336 41.4106855240052, 35.0523622700875 41.41075428508))"
112,SİNOP,GERZE,CUMHURİYET,134974,663,6,140755001,1779.48,1779.48,1779.48,KONUT ALANI,"Ayrık Nizam 2 Kat, TAKS=0,30 ve KAKS=0,60
Taşınmazın ihdası bulunmaktadır.",8500,15125580,15125580,"POLYGON ((35.1903745655639 41.788188158334, 35.1906252495793 41.7882601838398, 35.1908537273813 41.7883505432237, 35.1907297938355 41.7886118258457, 35.1906775181318 41.7886270803578, 35.1901136727429 41.7884040982828, 35.1900955549834 41.7883969259007, 35.1900889396931 41.7883730713047, 35.1902427528353 41.7882293840128, 35.1903745655639 41.788188158334))"
113,SİNOP,GERZE,CUMHURİYET,134974,670,29,140754842,509.22,509.22,509.22,KONUT ALANI,"Ayrık Nizam 2 Kat, TAKS=0,30 ve KAKS=0,60",9000,4582980,4582980,"POLYGON ((35.1860270743189 41.791090873011, 35.1858550292052 41.7912038179165, 35.1856918248938 41.7909711991087, 35.1856966195787 41.7909256333673, 35.1857690761774 41.7908529040387, 35.1858935191409 41.7909677240099, 35.1860270743189 41.791090873011))"
114,ŞANLIURFA,SİVEREK,AYVANAT,207453,3338,15,140692613,694.91,694.91,694.91,KONUT ALANI,"Ayrık Nizam 6 Kat (A-6), Taks: 0,30 Emsal:1,80
Taşınmazın yapılaşabilmesi için bitişik 3338 Ada 8 Numaralı parsel ile tevhit edilmesi gerekmektedir.",6000,4169460,6200000,"POLYGON ((39.3171682718551 37.7341543993174, 39.316947448524 37.734086970226, 39.3169553390765 37.7340635935561, 39.3170419962324 37.7338057043887, 39.3172420429613 37.7338510698564, 39.3172653937001 37.7338844979811, 39.3171682718551 37.7341543993174))"
115,ŞANLIURFA,SİVEREK,SELİMPINAR,207456,3215,12,140690694,283.35,283.35,283.35,KONUT ALANI,"E:1,00 Hmaks:5 Kat
Taşınmaz Bakanlar Kurulu Kararı (2013/4999) ile
Kentsel Dönüşüm Alanı ilan edilmiş olup, parselin mevcut şartlarda yapılaşmaya uygun değildir, parsel uygulama görüp parselasyon yapıldıktan sonra yapılaşabilecektir.",6100,1728435,2700000,"POLYGON ((39.3497205869072 37.7504737200671, 39.349792882295 37.7505250432654, 39.3500537459362 37.7504300722775, 39.3500888697853 37.7505464646866, 39.3500246323655 37.7505592530595, 39.3498823607434 37.7506041554295, 39.3496984120625 37.7504723722694, 39.3497205869072 37.7504737200671))"
116,ŞANLIURFA,SİVEREK,SELİMPINAR,207456,3554,1,140692629,755.22,755.22,755.22,KONUT ALANI,"E:1,00 Hmaks:5 Kat
Taşınmaz Bakanlar Kurulu Kararı (2013/4999) ile
Kentsel Dönüşüm Alanı ilan edilmiş olup, parselin mevcut şartlarda yapılaşmaya uygun değildir, parsel uygulama görüp parselasyon yapıldıktan sonra yapılaşabilecektir.",6000,4531320,6600000,"POLYGON ((39.3499228171619 37.7507311867389, 39.3499250858224 37.7507494738009, 39.3499332540422 37.750769832877, 39.3499442586161 37.7507901919926, 39.3499520865848 37.750806046868, 39.3499618430985 37.7508298291518, 39.3499697845032 37.750846855118, 39.3499836254531 37.7508671241854, 39.3499932685802 37.7508886543677, 39.3499954238582 37.750904689329, 39.3500063150405 37.7509238773463, 39.3500175464436 37.7509499117422, 39.3500203821091 37.7509819816437, 39.3500257139713 37.7510047729386, 39.3500265077846 37.7510218888871, 39.3500241761478 37.7510346552388, 39.349911284011 37.7510375140278, 39.3498519019943 37.751003689454, 39.3496584761853 37.7504816502517, 39.3496773090368 37.7504981359167, 39.3497058986684 37.750523720211, 39.3497209876229 37.7505382239622, 39.3497403878232 37.7505526376964, 39.349762964564 37.7505738077696, 39.3497943905699 37.7506004730931, 39.3498182154431 37.7506170488962, 39.3498466917712 37.7506402909725, 39.3498749413154 37.7506590288437, 39.3498947951788 37.7506826311155, 39.3499228171619 37.7507311867389))"
117,MARDİN,ARTUKLU,NUR,125908,2346,1,140651958,3033.85,3033.85,3033.85,KONUT ALANI,"E: 1.50, Hmax: 10 Kat",6500,19720025,,"POLYGON ((40.7175133120241 37.3508796716365, 40.7178622958333 37.3512847658673, 40.7178508806692 37.3513185976104, 40.7175128760148 37.3514067570218, 40.7171927785923 37.3515461615603, 40.7169921390821 37.3512349717383, 40.7171568376104 37.3511018028477, 40.7174757209909 37.350877015339, 40.7175133120241 37.3508796716365))"
118,MARDİN,ARTUKLU,NUR,125908,2347,1,140594147,1481.35,1481.35,1481.35,KONUT ALANI,"E: 1.50, Hmax: 10 Kat",7000,10369450,10369450,"POLYGON ((40.7132862085619 37.3498918351547, 40.7133067982567 37.3499272839694, 40.713253647079 37.3500517174592, 40.712688744268 37.3499999450417, 40.7126192890783 37.3499300848088, 40.7126494651504 37.3497204680113, 40.7126847955249 37.3497035113286, 40.7132862085619 37.3498918351547))"
119,MERSİN,ANAMUR,AKARCA,206346,1245,1,140592941,330.48,330.48,330.48,KONUT ALANI,"Ayrık Nizam E:0,75 Yençok: 12,50 m",8800,2908224,,"POLYGON ((32.8193166126973 36.0758266193371, 32.819317277223 36.0758269034444, 32.8194324180533 36.0758846100729, 32.8193196306936 36.0760530401325, 32.8191639473729 36.0759621242433, 32.8192697226474 36.0758348180927, 32.8193166126973 36.0758266193371))"
120,MERSİN,ANAMUR,İSKELE,206341,489,6,140619286,436.99,436.99,436.99,KONUT ALANI,"Ayrık Nizam E:1,00 Yençok: 18,50 m",16000,6991840,6991840,"POLYGON ((32.870868160243 36.0780775614929, 32.8707700356619 36.0782469012576, 32.8705844801747 36.078197261589, 32.8705921665787 36.0780322917514, 32.870593475252 36.0780041708599, 32.870829414239 36.0780764883969, 32.870868160243 36.0780775614929))"
121,MERSİN,BOZYAZI,BOZYAZI,203925,733,1,140599544,813.38,813.38,813.38,GÜNÜBİRLİK KULLANIM ALANI,"E:0,20 1 Kat Hmax:4,50 m, asma kat yapılması halinde 5,50 m",11500,9353870,,"POLYGON ((32.953821540923 36.1051779893829, 32.9538380903836 36.104917318586, 32.9540688538378 36.1049250037791, 32.9541325339835 36.104999182457, 32.9540889453848 36.1052215867854, 32.953874956472 36.1052117880529, 32.953821540923 36.1051779893829))"
122,MERSİN,BOZYAZI,ÇUBUKKOYAĞI,27836,603,2,140600335,515.64,515.64,515.64,KONUT ALANI,"Ayrık Nizam TAKS:0.30, KAKS:0,90 Yençok: 3 Kat
Üzerinde yapı bulunmaktadır.",6500,3351660,,"POLYGON ((33.004911344346 36.1112663928509, 33.0049237120236 36.1112567758679, 33.0049529206456 36.1112698882809, 33.004969548126 36.1112877031159, 33.005050466974 36.1114225353138, 33.005058956064 36.1114449635438, 33.0050757082455 36.1115683639085, 33.0050524579476 36.1116132530871, 33.0048130117924 36.1114647713896, 33.004879164242 36.1113063309898, 33.004911344346 36.1112663928509))"
123,MERSİN,BOZYAZI,KALEDİBİ,28713,113,2,140599204,1106.08,1106.08,1106.08,GÜNÜBİRLİK KULLANIM ALANI,"E:0,20 1 Kat Hmax:4,50 m, asma kat yapılması halinde 5,50 m",8500,9401680,,"POLYGON ((33.0149951297958 36.0975306854663, 33.0150531537719 36.0973118127179, 33.0154709935668 36.0973748390433, 33.015498663603 36.0976311366415, 33.0149951297958 36.0975306854663))"
124,MERSİN,BOZYAZI,KALEDİBİ,28713,113,3,140601788,772.74,772.74,772.74,KONUT ALANI,"Blok Nizam TAKS:0.30, KAKS:0,60 Yençok: 2 Kat",10000,7727400,,"POLYGON ((33.014958868008 36.0976674682395, 33.0149951297958 36.0975306854663, 33.015498663603 36.0976311366415, 33.0155149755014 36.097782227102, 33.014958868008 36.0976674682395))"
125,MERSİN,ERDEMLİ,ÇEŞMELİ,128217,1111,1,140587701,443.52,443.52,443.52,KONUT ALANI,"Ayrık Nizam, Taks: 0,40, E: 0,90, Hmax: 21,5 (7 Kat)
18.madde uygulamasına tabidir.",7800,3459456,3459456,"POLYGON ((34.4148799793062 36.6800067043848, 34.4147406033619 36.679819947353, 34.4149732224373 36.6797063032448, 34.4150438665953 36.6798016271537, 34.4148799793062 36.6800067043848))"
126,MERSİN,ERDEMLİ,ÇEŞMELİ,128217,1112,1,140628047,1493.9,1493.9,1493.9,KONUT ALANI,"Ayrık Nizam, Taks: 0,40, E: 0,90, Hmax: 21,5 (7 Kat)
18.madde uygulamasına tabidir.",10500,15685950,16200000,"POLYGON ((34.4358234852893 36.6825353932267, 34.436006094698 36.6824470505264, 34.4365519496589 36.6830143433332, 34.4363953224016 36.6831162495495, 34.4358234852893 36.6825353932267))"
127,MERSİN,ERDEMLİ,ÇEŞMELİ,128217,1113,1,140586196,637.36,637.36,637.36,KONUT ALANI,"Ayrık Nizam, Taks: 0,40, E: 0,90, Hmax: 21,5 (7 Kat)
18.madde uygulamasına tabidir.",7800,4971408,4971408,"POLYGON ((34.4158508700822 36.6789989611952, 34.4158393929101 36.6790163807689, 34.4158266316879 36.679037348543, 34.4158147128099 36.6790586355166, 34.4158036485658 36.679080219742, 34.4157934503639 36.6791020789649, 34.4157841287199 36.6791241906471, 34.41575873836 36.6791877522365, 34.4154939842214 36.6791333944127, 34.4156151162014 36.6788769393057, 34.4158508700822 36.6789989611952))"
128,MERSİN,ERDEMLİ,KORAMŞALI,128239,152,520,140622795,782.1,782.1,782.1,KONUT ALANI,"Ayrık Nizam, E: 0,50, Hmax: 6,50 m (2 Kat)
Taşınmazın yaklaşık 60 m² ihdası bulunmaktadır.",3500,2737350,2737350,"POLYGON ((34.1520319112718 36.7357884683087, 34.1520264556252 36.7357530189571, 34.1521480211089 36.7356364529296, 34.1523405802637 36.7357371823174, 34.1524765445813 36.7358082215618, 34.152485877792 36.7358409301268, 34.1523720863965 36.7359575493191, 34.1523240157917 36.7359621597415, 34.1520319112718 36.7357884683087))"
129,MERSİN,ERDEMLİ,KUMKUYU ÇANAKÇI,128215,1116,1,140587096,142.48,142.48,142.48,TERCİHLİ TURİZM ALANI,"E:0.60 Hmax: 6,50 m
676 Ada 1 Parsel ile tevhit şartı bulunmaktadır.",4500,641160,,"POLYGON ((34.1603381268886 36.5480479645058, 34.1601491090487 36.54798133532, 34.1601597452799 36.5479637820187, 34.1603831055959 36.5479413337606, 34.1603947183479 36.5479544339064, 34.1603381268886 36.5480479645058))"
130,MERSİN,ERDEMLİ,TIRTAR,128255,1114,1,140628476,763.78,763.78,763.78,GELİŞME KONUT ALANI,"Ayrık Nizam TAKS:0.30, KAKS:0,90 Yençok: 3 Kat
18.madde uygulamasına tabidir.",5800,4429924,,"POLYGON ((34.2253915281917 36.5425874674577, 34.2254317397949 36.5425788318924, 34.225472894816 36.5425738728273, 34.2255144786802 36.5425726522668, 34.2255430873596 36.5425743988776, 34.2255831311339 36.5426737208623, 34.2255053111913 36.5427530809867, 34.2248040409089 36.5427424859335, 34.2253915281917 36.5425874674577))"
131,MERSİN,MEZİTLİ,DAVULTEPE,127437,565,3,140576501,254.52,254.52,254.52,KONUT ALANI,"Ayrık Nizam E: 0,60, Hmaks:5 Kat
18.madde uygulamasına tabidir.
Taşınmaz üzerinde yapı bulunmaktadır.",6250,1590750,,"POLYGON ((34.4610915173634 36.712724228429, 34.4612463107484 36.7125552549109, 34.4613658309553 36.7125812467965, 34.461217644242 36.7127572722253, 34.4610915173634 36.712724228429))"
132,MERSİN,MEZİTLİ,DAVULTEPE,127437,14498,1,140572717,389.65,389.65,389.65,KONUT ALANI,"Ayrık Nizam E: 0,60, Hmaks:5 Kat
18.madde uygulamasına tabidir.",6000,2337900,2337900,"POLYGON ((34.4784327108094 36.7248785122605, 34.4784389589364 36.7249092038178, 34.4781512654286 36.7251362388146, 34.4781104652217 36.7251326769225, 34.4782830811633 36.7248202374476, 34.4784327108094 36.7248785122605))"
133,MERSİN,MEZİTLİ,KUYULUK,127400,11,19,140581777,396.39,396.39,396.39,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Ada bazlı 18.madde uygulamasına tabidir.
Taşınmaz üzerinde yapı/yapılar bulunmaktadır.",8500,3369315,,"POLYGON ((34.5107174466468 36.7605859936704, 34.5112646730718 36.7609784081147, 34.5112267411459 36.7609603824943, 34.5111086039871 36.7609042615997, 34.5110044494171 36.7608547345795, 34.5108916792032 36.7608011422758, 34.5107827174802 36.7607493563634, 34.5106602134814 36.7606911584387, 34.5107174466468 36.7605859936704))"
134,MERSİN,MEZİTLİ,KUYULUK,127400,67,13,140574619,604.97,604.97,604.97,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Taşınmaz üzerinde yapı/yapılar bulunmaktadır.",17500,10586975,,"POLYGON ((34.5088291545077 36.7635164929562, 34.5091166912174 36.763316094612, 34.509249184287 36.763439682019, 34.509034548977 36.7635934995395, 34.5089817504197 36.7636314014684, 34.5089813044547 36.7636310663004, 34.5088617856783 36.7635410651781, 34.5088291545077 36.7635164929562))"
135,MERSİN,MEZİTLİ,KUYULUK,127400,279,3,140572784,545.6,545.6,545.6,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Bölge bazlı 18.madde uygulamasına tabidir.",10250,5592400,5592400,"POLYGON ((34.5060915594438 36.7687805991306, 34.5062309114301 36.7689164163104, 34.5059320150883 36.7690391550541, 34.5058852031752 36.7689970456943, 34.5058017072371 36.7689219554961, 34.5060915594438 36.7687805991306))"
136,MERSİN,MEZİTLİ,KUYULUK,127400,541,4,140572999,1245.69,1245.69,1245.69,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Bölge bazlı 18.madde uygulamasına tabidir.",10250,12768322.5,,"POLYGON ((34.508917532022 36.7653809166183, 34.5092170663716 36.7654054020241, 34.509189137294 36.7656791071516, 34.5093558695098 36.7656927722446, 34.5097323778808 36.7657235720275, 34.5097296528318 36.7657252788041, 34.5096948313409 36.7657420919579, 34.5096577426133 36.765755401619, 34.5096189286794 36.7657650132742, 34.509578956783 36.7657707864546, 34.5095384110918 36.7657726367884, 34.509497884159 36.765770537234, 34.5092799609442 36.765748544157, 34.5092212456697 36.7657437648164, 34.5091623132623 36.7657412535948, 34.5091032989961 36.7657410162566, 34.5090443383326 36.7657430533462, 34.5089855666105 36.7657473601878, 34.5089402089401 36.7657524561907, 34.5089342944015 36.7656551866374, 34.508917532022 36.7653809166183))"
137,MERSİN,MEZİTLİ,KUYULUK,127400,607,29,140576458,1117.47,1117.47,1117.47,TİCARET+KONUT ALANI,"Ayrık Nizam, E:0,90, Taks:0,50, Hmaks:15 Kat",34000,37993980,64500000,"POLYGON ((34.5097945330448 36.7545809410196, 34.5099809691458 36.7546782416287, 34.5101703080675 36.754777053194, 34.5098443882618 36.7549709287289, 34.5097954238652 36.7549621295494, 34.5097396511657 36.754881476946, 34.5096583923258 36.7547414767326, 34.5096257134728 36.7546969541576, 34.5096390631933 36.7546603096187, 34.5096412850289 36.7546542117432, 34.5096524243789 36.7546488868447, 34.5097945330448 36.7545809410196))"
138,MERSİN,MEZİTLİ,KUYULUK,127400,14501,1,140581621,327.81,327.81,327.81,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Ada bazlı 18.madde uygulamasına tabidir.",8500,2786385,3800000,"POLYGON ((34.5007754561806 36.7607905341368, 34.5008553444842 36.7607366056348, 34.5010892670648 36.7609353100386, 34.5009915672338 36.7610102034676, 34.5007754561806 36.7607905341368))"
139,MERSİN,MEZİTLİ,KUYULUK,127400,14502,1,140574989,446.47,446.47,446.47,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Ada bazlı 18.madde uygulamasına tabidir.
Taşınmaz üzerinde çocuk parkı bulunmaktadır.",8500,3794995,,"POLYGON ((34.5110265879408 36.7602060444266, 34.5111134588608 36.7600672961056, 34.5111771638339 36.7600632744076, 34.5114352547979 36.7603603923369, 34.5110265879408 36.7602060444266))"
140,MERSİN,MEZİTLİ,KUYULUK,127400,14503,1,140576462,831.69,831.69,831.69,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Ada bazlı 18.madde uygulamasına tabidir.",10250,8524822.5,8524822.5,"POLYGON ((34.4992542014738 36.7696511521656, 34.4992803123717 36.7696711065438, 34.4992793665188 36.7696938724802, 34.4992739112126 36.7697170189916, 34.4992641079302 36.7697392185537, 34.499250188629 36.76975994589, 34.4992324826586 36.7697787105593, 34.4992114089679 36.7697950685593, 34.4988928953233 36.7700067823445, 34.4988503534756 36.7700132294059, 34.4986853757362 36.7699695189432, 34.4992255396808 36.7696096684066, 34.4992542014738 36.7696511521656))"
141,MERSİN,MEZİTLİ,KUYULUK,127400,14504,1,140576386,731.4,731.4,731.4,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Ada bazlı 18.madde uygulamasına tabidir.",10250,7496850,,"POLYGON ((34.5028600516956 36.769033644127, 34.5030185604744 36.7689727347616, 34.5029546449788 36.7691926854481, 34.503116638901 36.7694194748326, 34.5030248059383 36.7694546271559, 34.5028761778929 36.7695041111982, 34.5028637418426 36.7694974695496, 34.5028600516956 36.769033644127))"
142,MERSİN,MEZİTLİ,KUYULUK,127400,14505,1,140572753,455.93,455.93,455.93,KONUT ALANI,"Ayrık Nizam, E:0,60, 4 Kat
Ada bazlı 18.madde uygulamasına tabidir.",8500,3875405,4000000,"POLYGON ((34.5100776587132 36.7621625125375, 34.5101772809038 36.7620940936306, 34.5103930155732 36.7623156355307, 34.510391967953 36.7623162462921, 34.5101960752148 36.7623947954286, 34.5100776587132 36.7621625125375))"
143,MERSİN,MEZİTLİ,MEZİTLİ,127401,0,4774,140581453,1509.45,1509.45,1509.45,KONUT ALANI,"E:1,50, Hmaks:15 Kat
Ada bazlı 18.madde uygulamasına tabidir.",13000,19622850,,"POLYGON ((34.5033166180155 36.7356928953728, 34.5041256119078 36.7362609104558, 34.5041173127398 36.7363213385916, 34.5040787009398 36.7362890698247, 34.5040142014608 36.7363390663556, 34.5040528549328 36.7363713699826, 34.5039401869618 36.7364585781858, 34.503875126095 36.736384596336, 34.5038020682962 36.7363015936769, 34.5037291243225 36.736218502302, 34.5036560668352 36.7361354995581, 34.5035830095037 36.7360524967716, 34.5035100642481 36.7359694953508, 34.5034370072281 36.7358864924796, 34.503363841943 36.7358033079961, 34.5032758913186 36.735703268394, 34.5033166180155 36.7356928953728))"
144,MERSİN,MEZİTLİ,MEZİTLİ,127401,14506,1,140578728,2314.78,2314.78,2314.78,KONUT ALANI,"E:1,50, Hmaks:15 Kat
Bölge bazlı 18.madde uygulamasına tabidir.",13000,30092140,46500000,"POLYGON ((34.5380108251449 36.7632810975726, 34.5385169522468 36.7636170071109, 34.538323801065 36.7638291203787, 34.5382848875799 36.7638264691047, 34.5381014893409 36.7637883334597, 34.5379077667689 36.7637214037277, 34.5377380363129 36.7636600055346, 34.5377236602677 36.7636583005334, 34.5377131980538 36.7636526486381, 34.5380108251449 36.7632810975726))"
145,MERSİN,MEZİTLİ,TECE,127363,314,15,140576509,453.1,453.1,453.1,KONUT ALANI,"Ayrık Nizam, E:1,00, 8 Kat
18.madde uygulamasına tabidir.",8000,3624800,3624800,"POLYGON ((34.4536889840716 36.7044391736445, 34.4537495034745 36.7043217294422, 34.4538491586644 36.7043585645399, 34.4538547750137 36.7043487132051, 34.4540487391404 36.7044223946625, 34.4539837406865 36.7045553968378, 34.4539026468274 36.7045302826408, 34.4536889840716 36.7044391736445))"
146,MERSİN,MEZİTLİ,TECE,127363,426,50,140581676,257.74,257.74,257.74,KONUT ALANI,"Ayrık Nizam, E:1,00, 8 Kat
18.madde uygulamasına tabidir.",8000,2061920,2061920,"POLYGON ((34.447399314653 36.7041963217415, 34.4477555102688 36.7040372444489, 34.4477617115116 36.7040430674802, 34.4475188779157 36.7042744131078, 34.4474306538896 36.7042358537478, 34.447399314653 36.7041963217415))"
147,MERSİN,MEZİTLİ,TECE,127363,431,2,140595242,1964.64,1964.64,1964.64,KONUT ALANI,"Ayrık Nizam, E:1,00, 8 Kat
18.madde uygulamasına tabidir.
Taşınmaz üzerinde atıl yapı bulunmaktadır.",9000,17681760,,"POLYGON ((34.4444471722848 36.7018567769229, 34.4445373895178 36.7016442171449, 34.4445534025942 36.7013830870349, 34.4447972285119 36.7011766237066, 34.4448744808623 36.7011719853605, 34.4450241411591 36.7012392303144, 34.445029521248 36.7012620301701, 34.4445741653889 36.7019303060438, 34.4445318992618 36.7019389526249, 34.4444835381088 36.7019122797338, 34.4444722412288 36.7018891119898, 34.4444471722848 36.7018567769229))"
148,MERSİN,MEZİTLİ,TECE,127363,435,134,140596619,640.47,640.47,640.47,KÜÇÜK SANAYİ ALANI,"E:0,75, Hmaks:8,50 m
18.madde uygulamasına tabidir.",8000,5123760,,"POLYGON ((34.4406725196458 36.6969820078279, 34.4405523281647 36.6969290854818, 34.4406830534238 36.6965786509518, 34.4408590023838 36.6966555823438, 34.4408681311648 36.6966841066438, 34.4406725196458 36.6969820078279))"
149,MERSİN,MEZİTLİ,TECE,127363,435,135,140587430,702.64,702.64,702.64,TİCARET ALANI,"Ayrık Nizam, E:1,60, 10 Kat
18.madde uygulamasına tabidir.",10500,7377720,9800000,"POLYGON ((34.4412060474829 36.6963043967048, 34.4413895925359 36.6960248657978, 34.441428055716 36.6960198006008, 34.44159199973 36.6961254199888, 34.441548557011 36.6961916951228, 34.4413520247449 36.6963845762698, 34.4412060474829 36.6963043967048))"
150,MERSİN,MEZİTLİ,TECE,127363,14500,1,140595946,643.34,643.34,643.34,KONUT ALANI,"Ayrık Nizam, E:1,00, 8 Kat
18.madde uygulamasına tabidir.",9000,5790060,,"POLYGON ((34.4504197316345 36.7051081762218, 34.4505245212375 36.7050984346228, 34.4507699461396 36.7050882971678, 34.4511458298807 36.7053022357788, 34.4511403742267 36.7053164857248, 34.4510785246137 36.7053283455258, 34.4504317902235 36.7051321600708, 34.4504197316345 36.7051081762218))"
151,MALATYA,YEŞİLYURT,AŞAĞIBAĞLAR,129601,7150,1,140516816,1873.03,1873.03,1873.03,KONUT ALANI,"TAKS:0,40-E:1,50 Yençok: 22,50",9500,17793785,17793785,"POLYGON ((38.2998423981453 38.3284091035669, 38.2998361155163 38.3283673219674, 38.3002823378433 38.3280471594504, 38.3003334882224 38.3280433230821, 38.3003830377522 38.3280426390253, 38.3004325917763 38.3280468749413, 38.3004750696144 38.3280537388486, 38.3005113025446 38.3280615902842, 38.3005708655106 38.3280828764484, 38.3005817144195 38.3281077982665, 38.3001957946681 38.3285529944346, 38.3001785936239 38.3285556809973, 38.2998423981453 38.3284091035669))"
152,MALATYA,YEŞİLYURT,BOSTANBAŞI,169241,322,5,140517001,2452.92,2452.92,2452.92,TİCARET ALANI,"E:1,00 Yençok: 15,50
Taşınmaz üzerinde yapı/yapılar bulunmaktadır.",17500,42926100,,"POLYGON ((38.235812977199 38.3388017929872, 38.235446041237 38.3387671972702, 38.235555402217 38.3380174920882, 38.23611110623 38.3388299033442, 38.235812977199 38.3388017929872))"
