id,İl,İlçe,Mahalle,mahalleid,Ada,Parsel,tapuzeminref,tapualan,Toplam Alan(m2),Toki Hissesi(m2),İmar Durumu,Açıklama,Satış Birim Bedeli,Muhammen Bedel,Satış Bedeli,parselgeom
27,ÇANAKKALE,GELİBOLU,BOLAYIR,157362,277,166,140741489,1110.82,1110.82,1110.82,OTEL ALANI,"E=0.45, Yençok=3 Kat
18.Madde uygulamasına tabidir.
Taşınmaz 1/1.000 Ölçekli Koruma Amaçlı Uygulama İmar Planı kapsamında ""Sürdürülebilir Koruma ve Kontrollü Kullanım Alanı"" içerisinde yer almaktadır.",5950,6609379,,"POLYGON ((26.7853786714575 40.5498590301655, 26.7860338750859 40.5500985190841, 26.7860269430368 40.5501250721917, 26.7859982134076 40.5501380767314, 26.7858754349291 40.5501474785744, 26.7858543644575 40.5501456708981, 26.7858020765567 40.5501429098787, 26.785749681552 40.5501418613519, 26.7856972757898 40.5501425272456, 26.7853627345562 40.550152253794, 26.7853149781041 40.5501097643706, 26.7853786714575 40.5498590301655))"
28,ÇANAKKALE,GELİBOLU,BOLAYIR,157362,287,9,140742816,291.15,291.15,291.15,KONUT ALANI,"TAKS=0.25, KAKS=0.50, Yençok=6.50 m
15-16.Madde uygulamasına tabidir.
Taşınmaz 1/1.000 Ölçekli Koruma Amaçlı Uygulama İmar Planı kapsamında ""Sürdürülebilir Koruma ve Kontrollü Kullanım Alanı"" içerisinde yer almaktadır.",6500,1892475,2450000,"POLYGON ((26.78589582824 40.5484080365879, 26.7859213455594 40.5483520187353, 26.7859644693176 40.5483388490798, 26.7861179258998 40.5483989386437, 26.7863908823793 40.5484960616665, 26.7863782659287 40.5485362678354, 26.7862416732598 40.5484999930694, 26.78589582824 40.5484080365879))"
29,BALIKESİR,GÖMEÇ,KEMALPAŞA,205799,959,2,140571232,1349.35,1349.35,1349.35,KONUT ALANI,"Ayrık Nizam, Emsal: 0,30, Taks: 0,15, Yençok: 6,50 (2 Kat)",7500,10120125,,"POLYGON ((26.8185976422641 39.4036712754471, 26.8188860660378 39.4038533756498, 26.8186420728993 39.4041883025923, 26.8183543467197 39.4040176412769, 26.8185976422641 39.4036712754471))"
30,BALIKESİR,HAVRAN,TEKKE,167447,209,142,140535172,596.15,596.15,596.15,TİCARET ALANI,"Ayrık Nizam, Emsal(Kaks): 0,40 ve Yençok: 6,50 (2 Kat)
209 Ada 190 parsel ile şuyuludur.
Taşınmaz üzerinde Düğün Salonu işletmesi olan yapı yer almaktadır.",17000,10134550,,"POLYGON ((27.0815709827954 39.5592862703771, 27.0816501189092 39.5591712691198, 27.0819715092698 39.5594281121412, 27.0818005826545 39.5595492406561, 27.0817461404939 39.5594647314455, 27.0815709827954 39.5592862703771))"
31,BALIKESİR,KARESİ,TOYGAR,205868,10282,9,140552993,384.39,384.39,384.39,KONUT ALANI,"Kaks (Emsal): 0,90, Taks: 0,45, Yençok: 6,50 m. (2 kat)",12000,4612680,,"POLYGON ((27.892783344611 39.680031140216, 27.892989597325 39.680115086901, 27.893180235833 39.680192721424, 27.8931393069203 39.6802127879811, 27.8930496450916 39.6802452617745, 27.8929721412347 39.6802310860149, 27.8929030401793 39.6802034939535, 27.8928193821679 39.6801583320472, 27.892740166867 39.6800958791292, 27.892783344611 39.680031140216))"
32,BALIKESİR,KARESİ,TOYGAR,205868,10283,9,140526104,176.15,176.15,176.15,KONUT ALANI,"Kaks (Emsal): 0,90, Taks: 0,45, Yençok: 6,50 m. (2 kat)",13000,2289950,,"POLYGON ((27.892719087038 39.679994122847, 27.8926738083675 39.6800624634811, 27.8923559767855 39.6798642593415, 27.892347949481 39.679844080516, 27.892512497609 39.6799106037471, 27.892719087038 39.679994122847))"
33,BALIKESİR,MANYAS,BÖLCEAĞAÇ,167624,0,2694,140569773,447.5,447.5,447.5,"PLANSIZ ALAN
(1/100.000 ÇDP Kentsel Gelişme Alanı)",,1850,827875,,"POLYGON ((27.9359896463643 40.0919529247304, 27.9360802434825 40.0920735289989, 27.9360886822335 40.0920841598733, 27.9360964180709 40.0920932593272, 27.9361046231479 40.0921020887, 27.9361132974645 40.0921106479914, 27.9361224409772 40.092119027273, 27.9361319364968 40.0921270463678, 27.9361419012998 40.0921347053094, 27.9361537420953 40.092143265503, 27.9363727371841 40.0922942092806, 27.9363445899591 40.092306571527, 27.9362831005557 40.0923323228004, 27.9362030533427 40.0923145626746, 27.936189302232 40.0922956429079, 27.9358896815627 40.0919976853973, 27.9359896463643 40.0919529247304))"
34,BALIKESİR,MANYAS,BÖLCEAĞAÇ,167624,0,2695,140569883,301.44,301.44,301.44,"PLANSIZ ALAN
(1/100.000 ÇDP Kentsel Gelişme Alanı)",,1850,557664,,"POLYGON ((27.9363411479089 40.0924432338946, 27.9363457446573 40.0924412682788, 27.9363824705203 40.0924523935503, 27.9366897110341 40.0928230337743, 27.9365195210474 40.0927499782769, 27.9363261337979 40.092483905062, 27.9363411479089 40.0924432338946))"
35,BALIKESİR,MANYAS,BÖLCEAĞAÇ,167624,0,2696,140577594,1025.72,1025.72,1025.72,"PLANSIZ ALAN
(1/100.000 ÇDP Kentsel Gelişme Alanı)",,1700,1743724,,"POLYGON ((27.9375523158831 40.0919354922214, 27.9378905192128 40.0924165578807, 27.9377119803135 40.0924845675286, 27.937377457867 40.0920088526122, 27.9375523158831 40.0919354922214))"
36,BALIKESİR,SAVAŞTEPE,CUMHURİYET,167678,857,13,140595170,740.2,740.2,740.2,KONUT ALANI," Ayrık Nizam, TAKS: 0,40, KAKS (Emsal): 1,20 ve Yençok: 9,50 m (3 Kat)",6000,4441200,,"POLYGON ((27.6507770920392 39.3856327016858, 27.6507879977731 39.3857653834519, 27.6504479795507 39.3858457494712, 27.6504394432346 39.3856284395695, 27.6504284445912 39.3853484435878, 27.6504916171898 39.3853478209242, 27.6504971811922 39.3854917190158, 27.6505024984702 39.3856292355858, 27.6507770920392 39.3856327016858))"
37,BALIKESİR,SUSURLUK,KIŞLA,167804,579,7,140538556,1152.29,1152.29,1152.29,KONUT ALANI,"Ayrık Nizam, E: 1,60, Taks: 0,35, Yençok: 12,50 (4 Kat)
Taşınmaz üzerinde yapı/yapılar bulunmaktadır.",10000,11522900,11522900,"POLYGON ((28.1642961719859 39.9094569786485, 28.1644247854417 39.9093904196787, 28.1645309762871 39.9093354644692, 28.1646538623718 39.9092718690164, 28.164730253527 39.9092323352858, 28.1646635368539 39.9095124179749, 28.1642256918037 39.9096926029562, 28.164067093813 39.909575528618, 28.1641784297872 39.9095179113789, 28.1642961719859 39.9094569786485))"
38,AYDIN,KUŞADASI,DAVUTLAR,122153,690,80,140644824,672.43,672.43,672.43,KONUT ALANI,"Ayrık Nizam, TAKS: 0.20, KAKS: 0.40 ve 2 Kat
Taşınmaz üzerinde bir adet yüzme havuzu bulunmakta olup,  sınırları taş duvar ile çevrilidir.",15000,10086450,,"POLYGON ((27.3013558089878 37.7477354820099, 27.3012766130313 37.7475432402309, 27.3015413721928 37.7474283677315, 27.3016456750746 37.7476733079678, 27.3013558089878 37.7477354820099))"
39,AYDIN,KUŞADASI,GÜZELÇAMLI,148535,1122,1,140645583,521.13,521.13,521.13,KONUT ALANI,Ayrık Nizam 2 Kat ,26000,13549380,,"POLYGON ((27.2237655815585 37.7156440154807, 27.2240597967452 37.715763512951, 27.2240105683344 37.7159233173724, 27.2237121249868 37.7158018746808, 27.2237655815585 37.7156440154807))"
40,AYDIN,KUŞADASI,SOĞUCAK,149220,747,1,140646768,856.75,856.75,856.75,KONUT ALANI + YOL,"E: 0.40 ve Yençok: 7.20 m
18.madde uygulamasına tabidir.",12500,10709375,,"POLYGON ((27.2894263412115 37.784168721856, 27.2894006964139 37.7841995411868, 27.28933827374 37.7842400995826, 27.2893013770197 37.7842353329608, 27.2892074296993 37.7837491384241, 27.2891824501768 37.7837385624267, 27.28907174892 37.7836916470561, 27.2892858161783 37.7835950131141, 27.2893462686522 37.7837546520153, 27.2894263412115 37.784168721856))"
41,AYDIN,KUŞADASI,SOĞUCAK,149220,748,1,140647122,872.37,872.37,872.37,KONUT ALANI + YOL,"E: 0.40 ve Yençok: 7.20 m
18.madde uygulamasına tabidir.",12500,10904625,,"POLYGON ((27.288860565433 37.7836023185517, 27.288996146248 37.7833384840174, 27.2889972846523 37.7833369510969, 27.289027301003 37.7832965324956, 27.2892823987989 37.7834038625229, 27.2893000872644 37.7835060835014, 27.2889787600258 37.7836523858236, 27.288860565433 37.7836023185517))"
42,AYDIN,KUŞADASI,TÜRKMEN,152649,3072,1,140646074,418.1,418.1,418.1,TİCARET ALANI,"Yençok: 6,50 m",55000,22995500,22995500,"POLYGON ((27.2689238193293 37.8574219974692, 27.268955520074 37.8573840163121, 27.2692688433093 37.8575353150208, 27.2692755645529 37.8575780655192, 27.2689794776559 37.8576035917347, 27.2689714429486 37.8575751600966, 27.2689335861553 37.8574503837371, 27.2689238193293 37.8574219974692))"
43,AYDIN,KUYUCAK,GİRENİZ(PAMUKÖREN),149376,420,14,140618145,741.34,741.34,741.34,KONUT ALANI,"TAKS:0.25, E= 0.50 ve Hmaks= 6,50m(2 Kat)
15-16 madde uygulamasına tabidir.",3000,2224020,2224020,"POLYGON ((28.544779228415 37.9180381093392, 28.54473757822 37.9179328500122, 28.544699562877 37.9178381699731, 28.544613122673 37.9176455957002, 28.544562414695 37.9175276152102, 28.544641707194 37.9175789042902, 28.544695382853 37.9176183550362, 28.544886416 37.9176733594813, 28.5448678726664 37.9180163816795, 28.544779228415 37.9180381093392))"
44,AYDIN,KUYUCAK,GİRENİZ(PAMUKÖREN),149376,519,1,140619610,90.06,90.06,90.06,KONUT ALANI,"TAKS:0.25, E= 0.50 ve Hmaks= 6,50m(2 Kat)
15-16 madde uygulamasına tabidir.",3500,315210,,"POLYGON ((28.5449162083382 37.9178017057139, 28.5449223285621 37.9176836987444, 28.5450070178983 37.9177080833078, 28.5450242434134 37.9177817659574, 28.5449162083382 37.9178017057139))"
45,AYDIN,KUYUCAK,GİRENİZ(PAMUKÖREN),149376,520,1,140618870,385.33,385.33,385.33,KONUT ALANI,"TAKS:0.25, E= 0.50 ve Hmaks= 6,50m(2 Kat)
15-16 madde uygulamasına tabidir.",3200,1233056,1750000,"POLYGON ((28.5449046922857 37.9180073572034, 28.544915093087 37.9178284084831, 28.545078986748 37.9178011376832, 28.5452098010597 37.9179325746152, 28.5449046922857 37.9180073572034))"
46,AYDIN,KUYUCAK,GİRENİZ(PAMUKÖREN),149376,521,1,140619428,126.42,126.42,126.42,KONUT ALANI,"TAKS:0.25, E= 0.50 ve Hmaks= 6,50m(2 Kat)
15-16 madde uygulamasına tabidir.",3500,442470,,"POLYGON ((28.5452278050102 37.9179068085514, 28.5450992466142 37.9177777381429, 28.5451287680919 37.9177436431846, 28.5451742527061 37.9177562349279, 28.545247543904 37.9177955182792, 28.5452590652821 37.9178620708659, 28.5452278050102 37.9179068085514))"
47,İZMİR,ÇEŞME,DALYAN,125360,9050,1,140619980,1630.05,1630.05,1630.05,"TERCİHLİ TURİZM ALANI + TRAFO ALANI
","Ayrık Nizam, 2 Kat, KAKS: 0.25
 İmar uygulamasının, İzmir 4. İdare Mahkemesinin 2015/1535 Esas ve 2016/1661 Karar sayılı Kararı ile iptal edildiği için imar durumu ve inşaat izni verilemediği, parselin imar uygulamasına tabi olduğu, ancak hangi imar uygulamasına tabi olacağının tam olarak belli değildir.",,25000000,35000000,"POLYGON ((26.3140864843679 38.3709147684066, 26.3137312141211 38.3703901018908, 26.3139730705578 38.3702980984457, 26.3140357463062 38.3703499041452, 26.3143265725182 38.3707556400156, 26.3140864843679 38.3709147684066))"
48,İZMİR,ÇEŞME,DALYAN,125360,9051,1,140620455,609.7,609.7,609.7,TURİZM TESİS ALANI,"E:0,25, H:2 Kat
Taşınmazın yoldan ihdas ve tevhit koşulu bulunmaktadır.",35500,21644350,21644350,"POLYGON ((26.3117331368646 38.3692214175692, 26.3118948362268 38.3691716484444, 26.3121793546656 38.3689726969964, 26.3122400196414 38.369260876912, 26.3117331368646 38.3692214175692))"
49,İZMİR,ÇEŞME,ÜNİVERSİTE,204398,802,27,140620456,1455.77,1455.77,1455.77,GÜNÜBİRLİK TESİS ALANI + YOL,"E: 0.05
18.madde uygulamasına tabidir.",,9900000,14200000,"POLYGON ((26.3124609079392 38.3757017697426, 26.3133767717904 38.375566423608, 26.3133675780088 38.3756552843196, 26.3133617848163 38.3758686633419, 26.3127471343687 38.3757845251253, 26.3124609079392 38.3757017697426))"
50,MUĞLA,BODRUM,ÇİFTLİK,139255,150,131,140708602,571.94,571.94,571.94,KONUT ALANI,"E: 0,20",16000,9151040,11200000,"POLYGON ((27.557934212693 37.0127433559254, 27.557803244762 37.0128972793604, 27.557782821798 37.0129547824254, 27.557757653586 37.0130375279924, 27.557601888524 37.0129593116355, 27.557596068812 37.0129540068985, 27.557591651439 37.0129478936024, 27.557588806161 37.0129412066784, 27.557587642322 37.0129342031015, 27.557588204646 37.0129271520145, 27.557590471523 37.0129203243874, 27.557594355838 37.0129139826014, 27.557760647134 37.0126987720355, 27.557765999587 37.0126931597944, 27.557772614511 37.0126884927794, 27.557780237698 37.0126849503405, 27.557788576194 37.0126826686115, 27.557797309555 37.0126817352784, 27.557806015878 37.0126821677845, 27.557814616125 37.0126840040715, 27.557822524253 37.0126871190094, 27.557934212693 37.0127433559254))"
51,MUĞLA,BODRUM,ÇİFTLİK,139255,206,180,140707523,569.09,569.09,569.09,KONUT ALANI,"E: 0,15",15000,8536350,,"POLYGON ((27.5704855978569 37.0274434701171, 27.570106808127 37.0270416838525, 27.5700955106907 37.0270271785695, 27.5704770312728 37.0271461646263, 27.570474711232 37.0271583518135, 27.570470859172 37.0272030129851, 27.5704716059672 37.027247776816, 27.5704769465556 37.0272923393988, 27.5704868446872 37.0273363981923, 27.57050123317 37.0273796540749, 27.5705175873086 37.0274163652929, 27.5704855978569 37.0274434701171))"
